protein	age	taxon
ENSG00000140632~Q49A26~GLYR1	842.0	Deuterostomia
ENSG00000086758~Q7Z6Z7~HUWE1	1628.0	Eukaryota
ENSG00000174469~Q9UHC6~CNTNAP2	910.0	Bilateria
ENSG00000137171~Q9NSK0~KLC4	910.0	Bilateria
ENSG00000198911~Q12772~SREBF2	910.0	Bilateria
ENSG00000069667~P35398~RORA	910.0	Bilateria
ENSG00000171282~Q9P281~BAHCC1	361.2	Tetrapoda
ENSG00000088035~Q9Y672~ALG6	1368.0	Opisthokonta
ENSG00000133020~P13535~MYH8	1368.0	Opisthokonta
ENSG00000164828~O94901~SUN1	454.6	Euteleostomi
ENSG00000049323~Q14766~LTBP1	454.6	Euteleostomi
ENSG00000126016~Q4VCS5~AMOT	797.0	Chordata
ENSG00000140320~Q8TBE0~BAHD1	797.0	Chordata
ENSG00000115306~Q01082~SPTBN1	910.0	Bilateria
ENSG00000124486~Q93008~USP9X	842.0	Deuterostomia
ENSG00000064651~P55011~SLC12A2	910.0	Bilateria
ENSG00000102452~Q8IZF0~NALCN	1368.0	Opisthokonta
ENSG00000121481~Q99496~RNF2	842.0	Deuterostomia
ENSG00000084234~Q06481~APLP2	454.6	Euteleostomi
ENSG00000135476~Q14674~ESPL1	361.2	Tetrapoda
ENSG00000148840~Q5VV67~PPRC1	361.2	Tetrapoda
ENSG00000076003~Q14566~MCM6	1628.0	Eukaryota
ENSG00000013573~Q96FC9~DDX11	1368.0	Opisthokonta
ENSG00000151067~Q13936~CACNA1C	910.0	Bilateria
ENSG00000110514~Q8WXG6~MADD	910.0	Bilateria
ENSG00000145864~P47870~GABRB2	910.0	Bilateria
ENSG00000144406~Q96JI4~UNC80	910.0	Bilateria
ENSG00000171004~Q96MM7~HS6ST2	454.6	Euteleostomi
ENSG00000138834~Q9UPT6~MAPK8IP3	910.0	Bilateria
ENSG00000143631~P20930~FLG	6.1	Homininae
ENSG00000136931~Q13285~NR5A1	910.0	Bilateria
ENSG00000165891~Q96AV8~E2F7	797.0	Chordata
ENSG00000204262~P05997~COL5A2	842.0	Deuterostomia
ENSG00000164576~Q9HAJ7~SAP30L	454.6	Euteleostomi
ENSG00000116353~Q9BV79~MECR	1628.0	Eukaryota
ENSG00000135519~Q9ULD8~KCNH3	454.6	Euteleostomi
ENSG00000141458~O15118~NPC1	1628.0	Eukaryota
ENSG00000188157~O00468~AGRN	842.0	Deuterostomia
ENSG00000125459~Q9BUK6~MSTO1	1628.0	Eukaryota
ENSG00000152137~Q9UJY1~HSPB8	454.6	Euteleostomi
ENSG00000170759~P33176~KIF5B	1628.0	Eukaryota
ENSG00000119638~Q8TD19~NEK9	361.2	Tetrapoda
ENSG00000188828~Q5JXX5~GLRA4	910.0	Bilateria
ENSG00000091136~P07942~LAMB1	910.0	Bilateria
ENSG00000084674~P04114~APOB	454.6	Euteleostomi
ENSG00000165240~Q04656~ATP7A	4200.0	Cellular Organisms
ENSG00000069424~Q13303~KCNAB2	4200.0	Cellular Organisms
ENSG00000168993~O14810~CPLX1	454.6	Euteleostomi
ENSG00000100299~P15289~ARSA	454.6	Euteleostomi
ENSG00000121350~Q8WU10~PYROXD1	910.0	Bilateria
ENSG00000011021~P51797~CLCN6	842.0	Deuterostomia
ENSG00000115216~Q9UHY1~NRBP1	0.0	HUMAN
ENSG00000106006~P31267~HOXA6	324.5	Amniota
ENSG00000141837~O00555~CACNA1A	910.0	Bilateria
ENSG00000196440~Q5H9R4~ARMCX4	97.4	Eutheria
ENSG00000101977~P10911~MCF2	910.0	Bilateria
ENSG00000107518~Q5VV63~ATRNL1	910.0	Bilateria
ENSG00000163297~P58335~ANTXR2	454.6	Euteleostomi
ENSG00000155659~Q9Y279~VSIG4	324.5	Amniota
ENSG00000086848~Q9H6U8~ALG9	1368.0	Opisthokonta
ENSG00000196091~Q00872~MYBPC1	797.0	Chordata
ENSG00000102103~O60828~PQBP1	176.1	Theria
ENSG00000135049~Q9UPW5~AGTPBP1	842.0	Deuterostomia
ENSG00000128322~P15814~IGLL1	454.6	Euteleostomi
ENSG00000105221~P31751~AKT2	910.0	Bilateria
ENSG00000144455~Q8NBK3~SUMF1	842.0	Deuterostomia
ENSG00000135929~Q02318~CYP27A1	454.6	Euteleostomi
ENSG00000184381~O60733~PLA2G6	910.0	Bilateria
ENSG00000170558~P19022~CDH2	797.0	Chordata
ENSG00000145375~Q8NB90~SPATA5	4200.0	Cellular Organisms
ENSG00000115211~Q9UI10~EIF2B4	1628.0	Eukaryota
ENSG00000184432~P35606~COPB2	1628.0	Eukaryota
ENSG00000173898~O15020~SPTBN2	910.0	Bilateria
ENSG00000196924~P21333~FLNA	910.0	Bilateria
ENSG00000144843~P54922~ADPRH	176.1	Theria
ENSG00000134954~P14921~ETS1	842.0	Deuterostomia
ENSG00000173226~Q15051~IQCB1	842.0	Deuterostomia
ENSG00000169057~P51608~MECP2	454.6	Euteleostomi
ENSG00000125414~Q9UKX2~MYH2	1368.0	Opisthokonta
ENSG00000075275~Q9NYQ6~CELSR1	1628.0	Eukaryota
ENSG00000148606~O14802~POLR3A	4200.0	Cellular Organisms
ENSG00000114853~Q9UFB7~ZBTB47	454.6	Euteleostomi
ENSG00000127152~Q9C0K0~BCL11B	454.6	Euteleostomi
ENSG00000167104~Q8NFQ5~BPIFB6	324.5	Amniota
ENSG00000167207~Q9HC29~NOD2	220.2	Mammalia
ENSG00000104835~Q9NP81~FBXO17~SARS2	176.1	Theria
ENSG00000069696~P21917~DRD4	0.0	HUMAN
ENSG00000117009~O15229~KMO	910.0	Bilateria
ENSG00000125844~Q9P2E9~RRBP1	797.0	Chordata
ENSG00000115267~Q9BYX4~IFIH1	842.0	Deuterostomia
ENSG00000105726~Q9HD20~ATP13A1	1628.0	Eukaryota
ENSG00000121068~Q13207~TBX2	910.0	Bilateria
ENSG00000206487~Q5SQH8~C6orf136	842.0	Deuterostomia
ENSG00000166987~Q96DN6~MBD6	91.0	Euarchontoglires
ENSG00000168646~Q9Y2T1~AXIN2	797.0	Chordata
ENSG00000198947~P11532~DMD	910.0	Bilateria
ENSG00000136492~Q9BX63~BRIP1	797.0	Chordata
ENSG00000128604~Q13568~IRF5	361.2	Tetrapoda
ENSG00000117713~O14497~ARID1A	842.0	Deuterostomia
ENSG00000104408~P60228~EIF3E	1628.0	Eukaryota
ENSG00000004848~Q96QS3~ARX	454.6	Euteleostomi
ENSG00000171345~P08727~KRT19	361.2	Tetrapoda
ENSG00000086232~Q9BQI3~EIF2AK1	797.0	Chordata
ENSG00000116127~Q8TCU4~ALMS1	324.5	Amniota
ENSG00000114480~Q04446~GBE1	4200.0	Cellular Organisms
ENSG00000033122~Q96NW7~LRRC7	797.0	Chordata
ENSG00000133703~P01116~KRAS	454.6	Euteleostomi
ENSG00000049618~Q8NFD5~ARID1B	842.0	Deuterostomia
ENSG00000147402~Q9UN88~GABRQ	0.0	HUMAN
ENSG00000008086~O76039~CDKL5	842.0	Deuterostomia
ENSG00000071553~Q15904~ATP6AP1	842.0	Deuterostomia
ENSG00000117151~Q01459~CTBS	454.6	Euteleostomi
ENSG00000164978~P50583~NUDT2	910.0	Bilateria
ENSG00000117054~P11310~ACADM	910.0	Bilateria
ENSG00000109618~Q9HD40~SEPSECS	910.0	Bilateria
ENSG00000174373~Q6GYQ0~RALGAPA1	842.0	Deuterostomia
ENSG00000067842~Q16720~ATP2B3	1628.0	Eukaryota
ENSG00000131482~P35575~G6PC	454.6	Euteleostomi
ENSG00000074266~O75530~EED	910.0	Bilateria
ENSG00000053254~O00409~FOXN3	842.0	Deuterostomia
ENSG00000150995~Q14643~ITPR1	797.0	Chordata
ENSG00000073331~Q96QP1~ALPK1	454.6	Euteleostomi
ENSG00000108821~P02452~COL1A1	842.0	Deuterostomia
ENSG00000187955~Q05707~COL14A1	454.6	Euteleostomi
ENSG00000198216~Q15878~CACNA1E	910.0	Bilateria
ENSG00000140521~P54098~POLG	0.0	HUMAN
ENSG00000135486~P09651~HNRNPA1	842.0	Deuterostomia
ENSG00000136010~Q3SY69~ALDH1L2	4200.0	Cellular Organisms
ENSG00000197785~Q9NVI7~ATAD3A	910.0	Bilateria
ENSG00000184634~Q93074~MED12	910.0	Bilateria
ENSG00000155111~Q9BWU1~CDK19	1368.0	Opisthokonta
ENSG00000198886~P03905~MT-ND4	324.5	Amniota
ENSG00000055130~Q13616~CUL1	1628.0	Eukaryota
ENSG00000157764~P15056~BRAF	910.0	Bilateria
ENSG00000116748~P23109~AMPD1	1628.0	Eukaryota
ENSG00000175984~Q68D51~DENND2C	454.6	Euteleostomi
ENSG00000151914~O94833~DST	910.0	Bilateria
ENSG00000134780~Q9Y4D2~DAGLA	842.0	Deuterostomia
ENSG00000166402~P50607~TUB	910.0	Bilateria
ENSG00000105576~O14787~TNPO2	1628.0	Eukaryota
ENSG00000109099~Q01453~PMP22	454.6	Euteleostomi
ENSG00000107077~Q9H3R0~KDM4C	910.0	Bilateria
ENSG00000162063~P41002~CCNF	454.6	Euteleostomi
ENSG00000165389~Q969W0~SPTSSA	454.6	Euteleostomi
ENSG00000181143~Q8WXI7~MUC16	324.5	Amniota
ENSG00000011485~P53041~PPP5C	1628.0	Eukaryota
ENSG00000091262~O95255~ABCC6	1628.0	Eukaryota
ENSG00000126934~P36507~MAP2K2	1628.0	Eukaryota
ENSG00000153827~Q14669~TRIP12	1628.0	Eukaryota
ENSG00000183735~Q9UHD2~TBK1	842.0	Deuterostomia
ENSG00000108774~P51148~RAB5C	1628.0	Eukaryota
ENSG00000154864~Q9H5I5~PIEZO2	910.0	Bilateria
ENSG00000183337~Q6W2J9~BCOR	842.0	Deuterostomia
ENSG00000155966~P51816~AFF2	220.2	Mammalia
ENSG00000148400~P46531~NOTCH1	910.0	Bilateria
ENSG00000197386~P42858~HTT	842.0	Deuterostomia
ENSG00000196365~P36776~LONP1	4200.0	Cellular Organisms
ENSG00000122966~O14578~CIT	842.0	Deuterostomia
ENSG00000169750~P60763~RAC3	0.0	HUMAN
ENSG00000078142~Q8NEB9~PIK3C3	1628.0	Eukaryota
ENSG00000125965~P43026~GDF5	361.2	Tetrapoda
ENSG00000121067~O43791~SPOP	797.0	Chordata
ENSG00000005194~Q6FI81~CIAPIN1	1628.0	Eukaryota
ENSG00000135414~O95390~GDF11	454.6	Euteleostomi
ENSG00000165478~Q14CZ8~HEPACAM	454.6	Euteleostomi
ENSG00000075239~P24752~ACAT1	4200.0	Cellular Organisms
ENSG00000142700~Q96SC8~DMRTA2	176.1	Theria
ENSG00000096093~Q5JVL4~EFHC1	910.0	Bilateria
ENSG00000196218~P21817~RYR1	910.0	Bilateria
ENSG00000169071~Q01974~ROR2	910.0	Bilateria
ENSG00000132383~P27694~RPA1	1628.0	Eukaryota
ENSG00000160789~P02545~LMNA	454.6	Euteleostomi
ENSG00000140443~P08069~IGF1R	910.0	Bilateria
ENSG00000110446~Q8IY34~SLC15A3	176.1	Theria
ENSG00000092607~Q96SF7~TBX15	324.5	Amniota
ENSG00000159363~Q9NQ11~ATP13A2	1368.0	Opisthokonta
ENSG00000206561~Q9Y215~COLQ	324.5	Amniota
ENSG00000165474~P29033~GJB2	220.2	Mammalia
ENSG00000084774~P27708~CAD	4200.0	Cellular Organisms
ENSG00000128602~Q99835~SMO	842.0	Deuterostomia
ENSG00000093009~O75419~CDC45	1628.0	Eukaryota
ENSG00000151327~Q8N128~FAM177A1	324.5	Amniota
ENSG00000113360~Q9NRR4~DROSHA	1368.0	Opisthokonta
ENSG00000177380~O75145~PPFIA3	910.0	Bilateria
ENSG00000105186~Q96NW4~ANKRD27	842.0	Deuterostomia
ENSG00000184009~P63261~ACTG1	1628.0	Eukaryota
ENSG00000166833~Q8IVL1~NAV2	910.0	Bilateria
ENSG00000152556~P08237~PFKM	4200.0	Cellular Organisms
ENSG00000166167~Q9Y297~BTRC	1368.0	Opisthokonta
ENSG00000163541~P53597~SUCLG1	4200.0	Cellular Organisms
ENSG00000104044~Q04671~OCA2	454.6	Euteleostomi
ENSG00000152208~O43424~GRID2	454.6	Euteleostomi
ENSG00000115758~P11926~ODC1	4200.0	Cellular Organisms
ENSG00000135931~Q7Z3E5~ARMC9	842.0	Deuterostomia
ENSG00000161217~P49585~PCYT1A	1368.0	Opisthokonta
ENSG00000188994~O60281~ZNF292	454.6	Euteleostomi
ENSG00000145907~Q13283~G3BP1	797.0	Chordata
ENSG00000176248~Q9UJX6~ANAPC2	1628.0	Eukaryota
ENSG00000166033~Q92743~HTRA1	842.0	Deuterostomia
ENSG00000166250~Q9H6B4~CLMP	454.6	Euteleostomi
ENSG00000110799~P04275~VWF	797.0	Chordata
ENSG00000180828~Q8NFJ8~BHLHE22	176.1	Theria
ENSG00000171316~Q9P2D1~CHD7	797.0	Chordata
ENSG00000145536~Q8TE57~ADAMTS16	842.0	Deuterostomia
ENSG00000066336~P17947~SPI1	454.6	Euteleostomi
ENSG00000198742~Q9HCE7~SMURF1	842.0	Deuterostomia
ENSG00000103507~O14874~BCKDK	454.6	Euteleostomi
ENSG00000007314~P35499~SCN4A	842.0	Deuterostomia
ENSG00000039139~Q8TE73~DNAH5	1628.0	Eukaryota
ENSG00000099949~Q8N653~LZTR1	454.6	Euteleostomi
ENSG00000104885~Q8TEK3~DOT1L	797.0	Chordata
ENSG00000108474~Q9Y2B2~PIGL	1628.0	Eukaryota
ENSG00000140368~O43586~PSTPIP1	842.0	Deuterostomia
ENSG00000169247~Q8TF17~SH3TC2	324.5	Amniota
ENSG00000141367~Q00610~CLTC	1628.0	Eukaryota
ENSG00000157184~P23786~CPT2	910.0	Bilateria
ENSG00000107331~Q9BZC7~ABCA2	4200.0	Cellular Organisms
ENSG00000081189~Q06413~MEF2C	454.6	Euteleostomi
ENSG00000177463~P49116~NR2C2	842.0	Deuterostomia
ENSG00000167971~Q8WXD9~CASKIN1	842.0	Deuterostomia
ENSG00000176986~P53992~SEC24C	1628.0	Eukaryota
ENSG00000099991~Q9Y6J0~CABIN1	842.0	Deuterostomia
ENSG00000178522~Q9NP70~AMBN	220.2	Mammalia
ENSG00000113441~Q9UIQ6~LNPEP	797.0	Chordata
ENSG00000103313~O15553~MEFV	176.1	Theria
ENSG00000008853~Q9BYZ6~RHOBTB2	842.0	Deuterostomia
ENSG00000078369~P62873~GNB1	1368.0	Opisthokonta
ENSG00000082996~O43567~RNF13	910.0	Bilateria
ENSG00000167716~Q562E7~WDR81	910.0	Bilateria
ENSG00000065413~Q8N8A2~ANKRD44	1628.0	Eukaryota
ENSG00000130787~O75146~HIP1R	1368.0	Opisthokonta
ENSG00000160753~Q9BVN2~RUSC1	91.0	Euarchontoglires
ENSG00000104833~P04350~TUBB4A	1628.0	Eukaryota
ENSG00000172354~P62879~GNB2	1368.0	Opisthokonta
ENSG00000184014~Q6IQ26~DENND5A	910.0	Bilateria
ENSG00000198668~P62158~CALM1	1628.0	Eukaryota
ENSG00000197629~Q2M385~MPEG1	220.2	Mammalia
ENSG00000170921~Q9HCD6~TANC2	361.2	Tetrapoda
ENSG00000183091~P20929~NEB	797.0	Chordata
ENSG00000090006~Q8N2S1~LTBP4	454.6	Euteleostomi
ENSG00000141385~Q9Y4W6~AFG3L2	4200.0	Cellular Organisms
