chromosome	index1	index2	gene	probability	annotation	index3	index4	value
chr1	3537190	3556504	WDR8|0.388|40.3%	0.388	.	3537191	3556504	125,130,0
chr1	3658821	3678069	CCDC27|0.154|89.3%	0.154	.	3658822	3678069	25,230,0
chr1	3721203	3763657	KIAA0562|0.213|75.0%	0.213	.	3721204	3763657	50,205,0
chr1	3763704	3791853	DFFB|0.232|70.0%	0.232	.	3763705	3791853	75,180,0
chr1	4614964	4743711	AJAP1|0.250|65.3%	0.250	.	4614965	4743711	75,180,0
chr1	5845456	5975118	NPHP4|0.213|75.0%	0.213	.	5845457	5975118	50,205,0
chr1	5974112	6083840	KCNAB2|0.481|29.0%	0.481	.	5974113	6083840	175,80,0
chr1	6084439	6162770	CHD5|0.395|39.2%	0.395	.	6084440	6162770	150,105,0
chr1	6203839	6218631	ICMT|0.651|15.5%	0.651	.	6203840	6218631	200,55,0
chr1	6229992	6243622	GPR153|0.292|55.8%	0.292	.	6229993	6243622	100,155,0
chr1	6395064	6407317	HES2|0.543|23.4%	0.543	.	6395065	6407317	175,80,0
chr1	6443797	6448855	TNFRSF25|0.151|89.8%	0.151	.	6443798	6448855	25,230,0
chr1	6448738	6502708	PLEKHG5|0.202|77.8%	0.202	.	6448739	6502708	50,205,0
chr1	6507808	6537168	NOL9|0.198|78.7%	0.198	.	6507809	6537168	50,205,0
chr1	6538020	6562403	TAS1R1|0.191|80.3%	0.191	.	6538021	6562403	25,230,0
chr1	6562642	6571926	ZBTB48|0.235|69.2%	0.235	.	6562643	6571926	75,180,0
chr1	6573370	6585648	KLHL21|0.390|39.9%	0.390	.	6573371	6585648	150,105,0
chr1	6596331	6606643	PHF13|0.265|61.4%	0.265	.	6596332	6606643	75,180,0
chr1	6607512	6618219	THAP3|0.178|84.2%	0.178	.	6607513	6618219	25,230,0
chr1	6616817	6684460	DNAJC11|0.274|59.6%	0.274	.	6616818	6684460	100,155,0
chr1	7753915	7770120	VAMP3|0.174|85.3%	0.174	.	7753916	7770120	25,230,0
chr1	7766966	7827824	PER3|0.302|54.0%	0.302	.	7766967	7827824	100,155,0
chr1	7825729	7836159	UTS2|0.082|98.5%	0.082	.	7825730	7836159	0,255,0
chr1	7902494	7923474	TNFRSF9|0.106|96.6%	0.106	.	7902495	7923474	0,255,0
chr1	7944347	7967928	PARK7|0.330|48.9%	0.330	.	7944348	7967928	125,130,0
chr1	7994381	8008943	ERRFI1|0.414|36.7%	0.414	.	7994382	8008943	150,105,0
chr1	8335052	8800286	RERE|0.885|4.8%	0.885	.	8335053	8800286	255,0,0
chr1	8928508	8957733	CA6|0.221|72.8%	0.221	.	8928509	8957733	50,205,0
chr1	8985945	9008991	SLC2A7|0.170|86.0%	0.170	.	8985946	9008991	25,230,0
chr1	9019593	9052257	SLC2A5|0.252|64.7%	0.252	.	9019594	9052257	75,180,0
chr1	9086667	9111837	GPR157|0.189|81.1%	0.189	.	9086668	9111837	25,230,0
chr1	9217449	9253983	H6PD|0.249|65.6%	0.249	.	9217450	9253983	75,180,0
chr1	9275570	9352175	SPSB1|0.619|17.6%	0.619	.	9275571	9352175	200,55,0
chr1	9634376	9711759	PIK3CD|0.705|12.5%	0.705	.	9634377	9711759	200,55,0
chr1	9711666	9807137	CLSTN1|0.733|11.1%	0.733	.	9711667	9807137	200,55,0
chr1	9830920	9892908	CTNNBIP1|0.330|48.9%	0.330	.	9830921	9892908	125,130,0
chr1	9926072	9968143	NMNAT1|0.252|64.7%	0.252	.	9926073	9968143	75,180,0
chr1	10015602	10163876	UBE4B|0.458|31.4%	0.458	.	10015603	10163876	150,105,0
chr1	10193417	10364248	KIF1B|0.309|52.5%	0.309	.	10193418	10364248	100,155,0
chr1	10381667	10402788	PGD|0.389|40.1%	0.389	.	10381668	10402788	125,130,0
chr1	10443191	10455200	DFFA|0.386|40.5%	0.386	.	10443192	10455200	125,130,0
chr1	10929119	10946877	C1orf127|0.245|66.7%	0.245	.	10929120	10946877	75,180,0
chr1	11008648	11029883	MASP2|0.215|74.7%	0.215	.	11008649	11029883	50,205,0
chr1	11037235	11042678	SRM|0.296|55.0%	0.296	.	11037236	11042678	100,155,0
chr1	11049267	11082525	EXOSC10|0.501|27.3%	0.501	.	11049268	11082525	175,80,0
chr1	11089178	11245176	FRAP1|0.979|1.3%	0.979	.	11089179	11245176	255,0,0
chr1	11171984	11178624	ANGPTL7|0.771|9.3%	0.771	.	11171985	11178624	255,0,0
chr1	11255865	11277699	UBIAD1|0.240|67.9%	0.240	.	11255866	11277699	75,180,0
chr1	11646767	11656994	FBXO6|0.232|70.0%	0.232	.	11646768	11656994	75,180,0
chr1	11657124	11674294	MAD2L2|0.869|5.4%	0.869	.	11657125	11674294	255,0,0
chr1	11674365	11703237	C1orf187|0.247|66.2%	0.247	.	11674366	11703237	75,180,0
chr1	11768366	11788702	MTHFR|0.239|68.3%	0.239	.	11768367	11788702	75,180,0
chr1	11788793	11825788	CLCN6|0.518|25.7%	0.518	.	11788794	11825788	175,80,0
chr1	11828355	11830989	NPPA|0.148|90.3%	0.148	.	11828356	11830989	0,255,0
chr1	11962955	11996154	MFN2|0.179|83.9%	0.179	.	11962956	11996154	25,230,0
chr1	12046020	12126851	TNFRSF8|0.392|39.7%	0.392	.	12046021	12126851	150,105,0
chr1	12149646	12191863	TNFRSF1B|0.698|12.9%	0.698	.	12149647	12191863	200,55,0
chr1	12550525	12600381	DHRS3|0.346|46.3%	0.346	.	12550526	12600381	125,130,0
chr1	12627152	12649684	AADACL4|0.128|93.8%	0.128	.	12627153	12649684	0,255,0
chr1	12728749	12743688	C1orf158|0.200|78.4%	0.200	.	12728750	12743688	50,205,0
chr1	13782838	13817039	PDPN|0.565|21.5%	0.565	.	13782839	13817039	175,80,0
chr1	13899321	14024162	PRDM2|0.405|37.8%	0.405	.	13899322	14024162	150,105,0
chr1	15351648	15419561	TMEM51|0.275|59.3%	0.275	.	15351649	15419561	100,155,0
chr1	15609019	15629413	EFHD2|0.350|45.7%	0.350	.	15609020	15629413	125,130,0
chr1	15687321	15723527	CASP9|0.303|53.6%	0.303	.	15687322	15723527	100,155,0
chr1	15725894	15775174	DNAJC16|0.206|76.8%	0.206	.	15725895	15775174	50,205,0
chr1	15771738	15784192	AGMAT|0.188|81.3%	0.188	.	15771739	15784192	25,230,0
chr1	15816624	15859335	DDI2|0.293|55.6%	0.293	.	15816625	15859335	100,155,0
chr1	15935395	15940471	SLC25A34|0.317|51.1%	0.317	.	15935396	15940471	100,155,0
chr1	15955740	15985676	FBLIM1|0.415|36.5%	0.415	.	15955741	15985676	150,105,0
chr1	16046945	16139537	SPEN|0.911|3.8%	0.911	.	16046946	16139537	255,0,0
chr1	16140952	16175191	ZBTB17|0.907|3.9%	0.907	.	16140953	16175191	255,0,0
chr1	16203317	16207889	C1orf64|0.236|68.9%	0.236	.	16203318	16207889	75,180,0
chr1	16213113	16218551	HSPB7|0.257|63.7%	0.257	.	16213114	16218551	75,180,0
chr1	16220952	16233132	CLCNKA|0.216|74.4%	0.216	.	16220953	16233132	50,205,0
chr1	16242833	16256390	CLCNKB|0.235|69.4%	0.235	.	16242834	16256390	75,180,0
chr1	16256851	16272714	FAM131C|0.229|70.8%	0.229	.	16256852	16272714	50,205,0
chr1	16323419	16355151	EPHA2|0.635|16.5%	0.635	.	16323420	16355151	200,55,0
chr1	16430781	16436178	C1orf89|0.167|86.5%	0.167	.	16430782	16436178	25,230,0
chr1	16449146	16551535	FBXO42|0.222|72.8%	0.222	.	16449147	16551535	50,205,0
chr1	16566306	16597224	C1orf144|0.733|11.0%	0.733	.	16566307	16597224	200,55,0
chr1	16639805	16659159	NECAP2|0.289|56.4%	0.289	.	16639806	16659159	100,155,0
chr1	17173583	17179760	MFAP2|0.900|4.2%	0.900	.	17173584	17179760	255,0,0
chr1	17185039	17211010	ATP13A2|0.268|60.9%	0.268	.	17185040	17211010	75,180,0
chr1	17265842	17318535	PADI2|0.215|74.5%	0.215	.	17265843	17318535	50,205,0
chr1	17738916	17896956	ARHGEF10L|0.253|64.5%	0.253	.	17738917	17896956	75,180,0
chr1	18680010	18685207	KLHDC7A|0.379|41.5%	0.379	.	18680011	18685207	125,130,0
chr1	18830086	18944010	PAX7|0.921|3.5%	0.921	.	18830087	18944010	255,0,0
chr1	19038679	19058742	TAS1R2|0.228|71.0%	0.228	.	19038680	19058742	50,205,0
chr1	19070512	19101659	ALDH4A1|0.751|10.1%	0.751	.	19070513	19101659	200,55,0
chr1	19273586	19409333	UBR4|0.376|41.8%	0.376	.	19273587	19409333	125,130,0
chr1	19417171	19450633	KIAA0090|0.543|23.3%	0.543	.	19417172	19450633	175,80,0
chr1	19481643	19487867	AKR7A3|0.280|58.1%	0.280	.	19481644	19487867	100,155,0
chr1	19511326	19528380	PQLC2|0.220|73.3%	0.220	.	19511327	19528380	50,205,0
chr1	19537856	19684594	CAPZB|0.324|50.0%	0.324	.	19537857	19684594	125,130,0
chr1	19796053	19839759	C1orf151|0.557|22.1%	0.557	.	19796054	19839759	175,80,0
chr1	19842312	19857532	NBL1|0.466|30.6%	0.466	.	19842313	19857532	150,105,0
chr1	19864366	19878642	HTR6|0.317|51.2%	0.317	.	19864367	19878642	100,155,0
chr1	20013108	20014358	RNF186|0.165|87.1%	0.165	.	20013109	20014358	25,230,0
chr1	20119386	20122697	PLA2G2E|0.269|60.6%	0.269	.	20119387	20122697	75,180,0
chr1	20174515	20179496	PLA2G2A|0.362|43.7%	0.362	.	20174516	20179496	125,130,0
chr1	20311064	20318595	PLA2G2D|0.120|94.9%	0.120	.	20311065	20318595	0,255,0
chr1	20338405	20349466	PLA2G2F|0.198|78.8%	0.198	.	20338406	20349466	50,205,0
chr1	20698529	20707241	MUL1|0.259|63.0%	0.259	.	20698530	20707241	75,180,0
chr1	20788030	20817985	CDA|0.280|58.0%	0.280	.	20788031	20817985	100,155,0
chr1	20850846	20860624	DDOST|0.325|49.8%	0.325	.	20850847	20860624	125,130,0
chr1	20941757	20985768	HP1BP3|0.555|22.4%	0.555	.	20941758	20985768	175,80,0
chr1	21005558	21375927	EIF4G3|0.701|12.7%	0.701	.	21005559	21375927	200,55,0
chr1	21417663	21544584	ECE1|0.449|32.2%	0.449	.	21417664	21544584	150,105,0
chr1	21708444	21777492	ALPL|0.494|27.8%	0.494	.	21708445	21777492	175,80,0
chr1	21795301	21868390	RAP1GAP|0.466|30.6%	0.466	.	21795302	21868390	150,105,0
chr1	21877377	21982275	USP48|0.192|80.2%	0.192	.	21877378	21982275	25,230,0
chr1	22011344	22024301	LDLRAD2|0.395|39.2%	0.395	.	22011345	22024301	150,105,0
chr1	22021324	22136297	HSPG2|0.869|5.4%	0.869	.	22021325	22136297	255,0,0
chr1	22316384	22342106	WNT4|0.962|2.1%	0.962	.	22316385	22342106	255,0,0
chr1	22650930	22730237	ZBTB40|0.405|37.9%	0.405	.	22650931	22730237	150,105,0
chr1	22762590	22802674	EPHA8|0.446|32.7%	0.446	.	22762591	22802674	150,105,0
chr1	22842712	22847190	C1QC|0.276|58.9%	0.276	.	22842713	22847190	100,155,0
chr1	23218532	23282771	AOF2|0.521|25.4%	0.521	.	23218533	23282771	175,80,0
chr1	23389579	23393809	HTR1D|0.552|22.6%	0.552	.	23389580	23393809	175,80,0
chr1	23508862	23543440	HNRNPR|0.987|1.0%	0.987	.	23508863	23543440	255,0,0
chr1	23558527	23568944	ZNF436|0.566|21.4%	0.566	.	23558528	23568944	175,80,0
chr1	23579509	23623848	TCEA3|0.603|18.7%	0.603	.	23579510	23623848	200,55,0
chr1	23705508	23730300	E2F2|0.502|27.2%	0.502	.	23705509	23730300	175,80,0
chr1	23757011	23758570	ID3|0.918|3.6%	0.918	.	23757012	23758570	255,0,0
chr1	23942548	23958974	TCEB3|0.219|73.3%	0.219	.	23942549	23958974	50,205,0
chr1	23977469	23987309	C1orf128|0.337|47.9%	0.337	.	23977470	23987309	125,130,0
chr1	23994675	23999881	GALE|0.529|24.6%	0.529	.	23994676	23999881	175,80,0
chr1	24000954	24025264	HMGCL|0.163|87.4%	0.163	.	24000955	24025264	25,230,0
chr1	24044160	24067408	FUCA1|0.165|87.0%	0.165	.	24044161	24067408	25,230,0
chr1	24073046	24112404	CNR2|0.227|71.3%	0.227	.	24073047	24112404	50,205,0
chr1	24158904	24162515	PNRC2|0.634|16.6%	0.634	.	24158905	24162515	200,55,0
chr1	24318847	24342198	IL22RA1|0.165|87.0%	0.165	.	24318848	24342198	25,230,0
chr1	24353233	24387036	IL28RA|0.229|70.9%	0.229	.	24353234	24387036	50,205,0
chr1	24513250	24563559	GRHL3|0.284|57.2%	0.284	.	24513251	24563559	100,155,0
chr1	24556075	24614174	C1orf201|0.156|88.7%	0.156	.	24556076	24614174	25,230,0
chr1	24614870	24672053	NPAL3|0.357|44.5%	0.357	.	24614871	24672053	125,130,0
chr1	24842180	24872358	SRRM1|0.568|21.3%	0.568	.	24842181	24872358	175,80,0
chr1	24944434	25043345	CLIC4|0.538|23.7%	0.538	.	24944435	25043345	175,80,0
chr1	25421353	25431600	SYF2|0.303|53.6%	0.303	.	25421354	25431600	100,155,0
chr1	25441327	25446572	C1orf63|0.145|90.9%	0.145	.	25441328	25446572	0,255,0
chr1	25561327	25629270	RHCE|0.252|64.8%	0.252	.	25561328	25629270	75,180,0
chr1	25630005	25698515	TMEM57|0.749|10.2%	0.749	.	25630006	25698515	200,55,0
chr1	25742662	25767964	LDLRAP1|0.312|52.1%	0.312	.	25742663	25767964	100,155,0
chr1	25816545	25983845	MAN1C1|0.257|63.7%	0.257	.	25816546	25983845	75,180,0
chr1	25999253	26017300	SEPN1|0.245|66.8%	0.245	.	25999254	26017300	75,180,0
chr1	26019027	26032016	FAM54B|0.188|81.4%	0.188	.	26019028	26032016	25,230,0
chr1	26060288	26070331	PAQR7|0.250|65.2%	0.250	.	26060289	26070331	75,180,0
chr1	26099195	26105955	STMN1|0.708|12.4%	0.708	.	26099196	26105955	200,55,0
chr1	26158844	26197235	PAFAH2|0.223|72.5%	0.223	.	26158845	26197235	50,205,0
chr1	26220857	26235537	EXTL1|0.289|56.3%	0.289	.	26220858	26235537	100,155,0
chr1	26237100	26245191	SLC30A2|0.192|80.1%	0.192	.	26237101	26245191	25,230,0
chr1	26250384	26266708	TRIM63|0.226|71.6%	0.226	.	26250385	26266708	50,205,0
chr1	26310912	26324608	PDIK1L|0.710|12.3%	0.710	.	26310913	26324608	200,55,0
chr1	26376589	26388957	CNKSR1|0.265|61.6%	0.265	.	26376590	26388957	75,180,0
chr1	26433279	26477884	CCDC21|0.276|59.1%	0.276	.	26433280	26477884	100,155,0
chr1	26516997	26519600	CD52|0.214|74.9%	0.214	.	26516998	26519600	50,205,0
chr1	26560711	26571853	ZNF683|0.206|76.9%	0.206	.	26560712	26571853	50,205,0
chr1	26609855	26628806	LIN28|0.881|5.0%	0.881	.	26609856	26628806	255,0,0
chr1	26631359	26670380	DHDDS|0.238|68.6%	0.238	.	26631360	26670380	75,180,0
chr1	26728835	26774108	RPS6KA1|0.847|6.2%	0.847	.	26728836	26774108	255,0,0
chr1	26895108	26981188	ARID1A|0.653|15.3%	0.653	.	26895109	26981188	200,55,0
chr1	26987072	26997471	PIGV|0.454|31.9%	0.454	.	26987073	26997471	150,105,0
chr1	27025787	27054794	ZDHHC18|0.224|72.1%	0.224	.	27025788	27054794	50,205,0
chr1	27062239	27063534	SFN|0.642|16.1%	0.642	.	27062240	27063534	200,55,0
chr1	27078459	27089456	GPN2|0.236|68.9%	0.236	.	27078460	27089456	75,180,0
chr1	27089566	27099544	GPATCH3|0.120|95.0%	0.120	.	27089567	27099544	0,255,0
chr1	27110565	27113047	NR0B2|0.757|9.9%	0.757	.	27110566	27113047	255,0,0
chr1	27120810	27145475	NUDC|0.478|29.3%	0.478	.	27120811	27145475	175,80,0
chr1	27204099	27211914	FAM46B|0.642|16.0%	0.642	.	27204100	27211914	200,55,0
chr1	27297892	27366059	SLC9A1|0.489|28.2%	0.489	.	27297893	27366059	175,80,0
chr1	27433745	27507322	WDTC1|0.981|1.2%	0.981	.	27433746	27507322	255,0,0
chr1	27541099	27553008	SYTL1|0.474|29.8%	0.474	.	27541100	27553008	175,80,0
chr1	27554256	27565970	MAP3K6|0.240|68.1%	0.240	.	27554257	27565970	75,180,0
chr1	27568188	27573916	FCN3|0.172|85.6%	0.172	.	27568189	27573916	25,230,0
chr1	27591738	27594900	GPR3|0.669|14.4%	0.669	.	27591739	27594900	200,55,0
chr1	27604712	27689256	WASF2|0.499|27.5%	0.499	.	27604713	27689256	175,80,0
chr1	27733132	27803275	AHDC1|0.174|85.2%	0.174	.	27733133	27803275	25,230,0
chr1	27811389	27834314	FGR|0.633|16.7%	0.633	.	27811390	27834314	200,55,0
chr1	27865158	27871311	IFI6|0.256|63.7%	0.256	.	27865159	27871311	75,180,0
chr1	27972280	28023549	STX12|0.625|17.2%	0.625	.	27972281	28023549	200,55,0
chr1	28029879	28050770	PPP1R8|0.725|11.4%	0.725	.	28029880	28050770	200,55,0
chr1	28071641	28085783	C1orf38|0.575|20.7%	0.575	.	28071642	28085783	175,80,0
chr1	28090636	28113844	RPA2|0.924|3.4%	0.924	.	28090637	28113844	255,0,0
chr1	28134090	28158249	SMPDL3B|0.328|49.2%	0.328	.	28134091	28158249	125,130,0
chr1	28159090	28167191	XKR8|0.254|64.3%	0.254	.	28159091	28167191	75,180,0
chr1	28169444	28287702	EYA3|0.892|4.5%	0.892	.	28169445	28287702	255,0,0
chr1	28348450	28392971	PTAFR|0.211|75.7%	0.211	.	28348451	28392971	50,205,0
chr1	28435197	28437196	ATPIF1|0.247|66.2%	0.247	.	28435198	28437196	75,180,0
chr1	28458592	28481586	SESN2|0.623|17.4%	0.623	.	28458593	28481586	200,55,0
chr1	28528135	28535062	MED18|0.153|89.4%	0.153	.	28528136	28535062	25,230,0
chr1	28791298	28793673	RAB42|0.176|84.7%	0.176	.	28791299	28793673	25,230,0
chr1	28802199	28842172	TAF12|0.535|24.0%	0.535	.	28802200	28842172	175,80,0
chr1	28867830	28918452	GMEB1|0.329|49.1%	0.329	.	28867831	28918452	125,130,0
chr1	28935722	28968874	YTHDF2|0.567|21.3%	0.567	.	28935723	28968874	175,80,0
chr1	29011240	29062795	OPRD1|0.459|31.4%	0.459	.	29011241	29062795	150,105,0
chr1	29086214	29319545	EPB41|0.773|9.2%	0.773	.	29086215	29319545	255,0,0
chr1	29346951	29380948	SFRS4|0.900|4.2%	0.900	.	29346952	29380948	255,0,0
chr1	29391971	29430041	MECR|0.577|20.6%	0.577	.	29391972	29430041	175,80,0
chr1	29435633	29525900	PTPRU|0.420|35.9%	0.420	.	29435634	29525900	150,105,0
chr1	30958582	30969474	MATN1|0.335|48.1%	0.335	.	30958583	30969474	125,130,0
chr1	30977902	31003254	LAPTM5|0.259|63.2%	0.259	.	30977903	31003254	75,180,0
chr1	31176939	31311350	PUM1|0.450|32.2%	0.450	.	31176940	31311350	150,105,0
chr1	31425178	31484986	NKAIN1|0.698|12.9%	0.698	.	31425179	31484986	200,55,0
chr1	31542428	31610370	ZCCHC17|0.310|52.4%	0.310	.	31542429	31610370	100,155,0
chr1	31610686	31618510	FABP3|0.283|57.5%	0.283	.	31610687	31618510	100,155,0
chr1	31654998	31680111	SERINC2|0.230|70.7%	0.230	.	31654999	31680111	50,205,0
chr1	31814699	31825872	TINAGL1|0.363|43.7%	0.363	.	31814700	31825872	125,130,0
chr1	31855887	31870706	HCRTR1|0.249|65.4%	0.249	.	31855888	31870706	75,180,0
chr1	31890434	31942507	COL16A1|0.223|72.3%	0.223	.	31890435	31942507	50,205,0
chr1	31965304	32002528	BAI2|0.533|24.2%	0.533	.	31965305	32002528	175,80,0
chr1	32028609	32054210	SPOCD1|0.125|94.3%	0.125	.	32028610	32054210	0,255,0
chr1	32146379	32176575	PTP4A2|0.167|86.4%	0.167	.	32146380	32176575	25,230,0
chr1	32252077	32282059	KHDRBS1|0.820|7.3%	0.820	.	32252078	32282059	255,0,0
chr1	32311108	32341049	TMEM39B|0.611|18.2%	0.611	.	32311109	32341049	200,55,0
chr1	32346230	32414756	KPNA6|0.929|3.2%	0.929	.	32346231	32414756	255,0,0
chr1	32417873	32436473	TXLNA|0.390|40.0%	0.390	.	32417874	32436473	150,105,0
chr1	32460557	32469792	EIF3I|0.865|5.5%	0.865	.	32460558	32469792	255,0,0
chr1	32572027	32574421	MARCKSL1|0.654|15.2%	0.654	.	32572028	32574421	200,55,0
chr1	32600384	32602495	TSSK3|0.291|56.0%	0.291	.	32600385	32602495	100,155,0
chr1	32603375	32632614	BSDC1|0.632|16.7%	0.632	.	32603376	32632614	200,55,0
chr1	32980098	33013158	KIAA1522|0.204|77.3%	0.204	.	32980099	33013158	50,205,0
chr1	33013426	33056220	YARS|0.295|55.3%	0.295	.	33013427	33056220	100,155,0
chr1	33055629	33097062	S100PBP|0.213|75.2%	0.213	.	33055630	33097062	50,205,0
chr1	33100455	33108938	FNDC5|0.716|11.9%	0.716	.	33100456	33108938	200,55,0
chr1	33124684	33132833	HPCA|0.505|26.9%	0.505	.	33124685	33132833	175,80,0
chr1	33132782	33149272	TMEM54|0.349|45.9%	0.349	.	33132783	33149272	125,130,0
chr1	33174632	33203001	RNF19B|0.544|23.3%	0.544	.	33174633	33203001	175,80,0
chr1	33246172	33275079	AK2|0.640|16.2%	0.640	.	33246173	33275079	200,55,0
chr1	33319300	33358709	ADC|0.480|29.1%	0.480	.	33319301	33358709	175,80,0
chr1	33383590	33420229	TRIM62|0.324|50.0%	0.324	.	33383591	33420229	125,130,0
chr1	33508762	33538907	ZNF362|0.711|12.2%	0.711	.	33508763	33538907	200,55,0
chr1	33544953	33559286	A3GALT2|0.189|81.2%	0.189	.	33544954	33559286	25,230,0
chr1	33561810	33613781	PHC2|0.741|10.7%	0.741	.	33561811	33613781	200,55,0
chr1	33710818	33734582	ZSCAN20|0.496|27.7%	0.496	.	33710819	33734582	175,80,0
chr1	33752195	34404030	CSMD2|0.597|19.1%	0.597	.	33752196	34404030	200,55,0
chr1	34098662	34102978	HMGB4|0.095|97.5%	0.095	.	34098663	34102978	0,255,0
chr1	34405070	34457319	C1orf94|0.235|69.3%	0.235	.	34405071	34457319	75,180,0
chr1	34993234	34996700	GJB5|0.280|58.1%	0.280	.	34993235	34996700	100,155,0
chr1	35019376	35024554	GJB3|0.223|72.4%	0.223	.	35019377	35024554	50,205,0
chr1	35091718	35097934	C1orf212|0.124|94.4%	0.124	.	35091719	35097934	0,255,0
chr1	35103623	35167773	DLGAP3|0.417|36.3%	0.417	.	35103624	35167773	150,105,0
chr1	35219764	35270156	ZMYM6|0.250|65.2%	0.250	.	35219765	35270156	75,180,0
chr1	35317558	35354047	ZMYM1|0.126|94.1%	0.126	.	35317559	35354047	0,255,0
chr1	35421789	35431322	SFPQ|0.899|4.3%	0.899	.	35421790	35431322	255,0,0
chr1	35507154	35660131	ZMYM4|0.744|10.5%	0.744	.	35507155	35660131	200,55,0
chr1	35671678	35795591	KIAA0319L|0.328|49.2%	0.328	.	35671679	35795591	125,130,0
chr1	35795660	35804963	NCDN|0.482|28.9%	0.482	.	35795661	35804963	175,80,0
chr1	35811557	35833512	TFAP2E|0.260|62.8%	0.260	.	35811558	35833512	75,180,0
chr1	35952063	35957377	C1orf216|0.236|68.9%	0.236	.	35952064	35957377	75,180,0
chr1	35958405	36008155	CLSPN|0.591|19.5%	0.591	.	35958406	36008155	200,55,0
chr1	36046414	36095007	EIF2C4|0.159|88.1%	0.159	.	36046415	36095007	25,230,0
chr1	36107995	36162486	EIF2C1|0.167|86.6%	0.167	.	36107996	36162486	25,230,0
chr1	36322262	36326462	TEKT2|0.204|77.5%	0.204	.	36322263	36326462	50,205,0
chr1	36327072	36332119	ADPRHL2|0.344|46.6%	0.344	.	36327073	36332119	125,130,0
chr1	36333423	36363408	COL8A2|0.659|14.9%	0.659	.	36333424	36363408	200,55,0
chr1	36394152	36419037	MAP7D1|0.180|83.7%	0.180	.	36394153	36419037	25,230,0
chr1	36462625	36542744	THRAP3|0.337|47.7%	0.337	.	36462626	36542744	125,130,0
chr1	36545304	36563074	C1orf113|0.083|98.4%	0.083	.	36545305	36563074	0,255,0
chr1	36577811	36624084	STK40|0.377|41.8%	0.377	.	36577812	36624084	125,130,0
chr1	36631617	36636080	LSM10|0.234|69.6%	0.234	.	36631618	36636080	75,180,0
chr1	36656094	36688639	C1orf102|0.262|62.3%	0.262	.	36656095	36688639	75,180,0
chr1	36704230	36721466	CSF3R|0.261|62.6%	0.261	.	36704231	36721466	75,180,0
chr1	37039200	37272431	GRIK3|0.300|54.4%	0.300	.	37039201	37272431	100,155,0
chr1	37712752	37722563	ZC3H12A|0.412|37.0%	0.412	.	37712753	37722563	150,105,0
chr1	37724501	37752962	C1orf149|0.280|58.1%	0.280	.	37724502	37752962	100,155,0
chr1	37774731	37792490	SNIP1|0.654|15.2%	0.654	.	37774732	37792490	200,55,0
chr1	37795106	37805044	DNALI1|0.266|61.3%	0.266	.	37795107	37805044	75,180,0
chr1	37805016	37834109	GNL2|0.885|4.8%	0.885	.	37805017	37834109	255,0,0
